year,state_district,party,party_incumbent,candidate_incumbent,candidate_incumbent_vote,R_win_pct
2010,Alabama1,republican,republican,1,0.982707226392122,1.0
2010,Alabama2,republican,democrat,0,0.0,1.0
2010,Alabama3,republican,republican,1,0.5403150083295472,0.375
2010,Alabama4,republican,republican,1,0.7475899333883048,0.375
2010,Alabama5,republican,democrat,0,0.0,0.0
2010,Alabama6,republican,republican,1,0.9779450418991982,0.6875
2010,Alabama7,democrat,democrat,0,0.0,0.0
2010,Alaska0,republican,republican,1,0.5014196568847049,1.0
2010,Arizona1,republican,democrat,0,0.0,0.9375
2010,Arizona2,republican,republican,1,0.5943796723891569,0.1875
2010,Arizona3,republican,republican,0,0.0,0.8125
2010,Arizona4,democrat,democrat,1,0.7210734004677442,0.8125
2010,Arizona5,republican,democrat,0,0.0,0.8461538461538461
2010,Arizona6,republican,republican,1,0.6241681030355262,0.875
2010,Arizona7,democrat,democrat,0,0.0,0.0
2010,Arizona8,democrat,democrat,1,0.5472056198326967,0.6666666666666666
2010,Arkansas1,republican,democrat,0,0.0,0.0
2010,Arkansas2,republican,democrat,0,0.0,0.1875
2010,Arkansas3,republican,republican,0,0.0,1.0
2010,Arkansas4,democrat,democrat,1,0.8617233788982148,0.25
2010,California1,democrat,democrat,1,0.6810019554380456,0.25
2010,California10,democrat,democrat,0,0.0,0.125
2010,California11,democrat,democrat,1,0.5527256599107575,0.4375
2010,California12,democrat,democrat,1,0.7511326460635631,0.5
2010,California13,democrat,democrat,1,0.7643029925415529,0.0
2010,California14,democrat,democrat,1,0.6976712640138434,0.4375
2010,California15,democrat,democrat,1,0.7166172790866302,0.125
2010,California16,democrat,democrat,1,0.7134034978351605,0.0
2010,California17,democrat,democrat,1,0.7387917384724397,0.375
2010,California18,democrat,democrat,1,1.0,0.1875
2010,California19,republican,republican,0,0.0,0.9375
2010,California2,republican,republican,1,0.5789499782175201,1.0
2010,California20,democrat,democrat,1,0.7433455062689287,0.5
2010,California21,republican,republican,1,0.6839263160403213,0.875
2010,California22,republican,republican,1,1.0,0.8125
2010,California23,democrat,democrat,1,0.6807433237485504,0.3125
2010,California24,republican,republican,1,0.5815391998720222,0.1875
2010,California25,republican,republican,1,0.5772799284884811,0.5
2010,California26,republican,republican,1,0.5263916445176506,0.375
2010,California27,democrat,democrat,1,0.6850940869687786,0.4375
2010,California28,democrat,democrat,1,0.9989100500650336,0.3125
2010,California29,democrat,democrat,1,0.6891451089825779,0.0
2010,California3,republican,republican,1,0.4949083892168663,0.3125
2010,California30,democrat,democrat,1,1.0,0.0
2010,California31,democrat,democrat,1,1.0,0.0
2010,California32,democrat,democrat,0,0.0,0.0
2010,California33,democrat,democrat,0,0.0,0.5
2010,California34,democrat,democrat,1,0.7709460041168046,0.125
2010,California35,democrat,democrat,1,0.8258233422244617,0.375
2010,California36,democrat,democrat,1,0.6864438243290178,0.0625
2010,California37,democrat,democrat,1,0.7494465113094287,0.5
2010,California38,democrat,democrat,1,0.8172717230298009,0.5625
2010,California39,democrat,democrat,0,0.0,0.8125
2010,California4,republican,republican,1,0.5024338796040889,0.5
